id,bias,scenario,raw_control,raw_treatment,control,treatment,metric_params,generator,temperature,seed
150,Availability Heuristic,A supply chain manager at a company from the capital goods industry deciding on the best strategy to minimize transportation costs while ensuring timely delivery.,"<template type=""control""><situation>Suppose you are a supply chain manager at Capital Goods Corp.</situation><situation>A company in your industry plans to implement a new logistics strategy to reduce transportation costs and improve delivery times for its latest line of machinery products.</situation><prompt>How likely do you estimate the planned project to be a success?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","<template type=""treatment""><situation>Suppose you are a supply chain manager at Capital Goods Corp.</situation><situation>A company in your industry plans to implement a new logistics strategy to reduce transportation costs and improve delivery times for its latest line of machinery products.</situation><situation>Recently, GlobalTech Industries recently implemented a similar logistics strategy and reported a 25% reduction in transportation costs while achieving a 95% on-time delivery rate.</situation><prompt>How likely do you estimate the planned project to be a success?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","Situation:
Suppose you are a supply chain manager at Capital Goods Corp.
A company in your industry plans to implement a new logistics strategy to reduce transportation costs and improve delivery times for its latest line of machinery products.

Prompt:
How likely do you estimate the planned project to be a success?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a supply chain manager at Capital Goods Corp.
A company in your industry plans to implement a new logistics strategy to reduce transportation costs and improve delivery times for its latest line of machinery products.
Recently, GlobalTech Industries recently implemented a similar logistics strategy and reported a 25% reduction in transportation costs while achieving a 95% on-time delivery rate.

Prompt:
How likely do you estimate the planned project to be a success?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
151,Availability Heuristic,A supply chain manager at a company from the capital goods industry deciding on the best strategy to minimize transportation costs while ensuring timely delivery.,"<template type=""control""><situation>Suppose you are a supply chain manager at Global Capital Goods Inc.</situation><situation>A company in your industry plans to launch a new logistics software that optimizes delivery routes to cut transportation costs by 20% while maintaining delivery schedules.</situation><prompt>How likely do you estimate the planned project to be a failure?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","<template type=""treatment""><situation>Suppose you are a supply chain manager at Global Capital Goods Inc.</situation><situation>A company in your industry plans to launch a new logistics software that optimizes delivery routes to cut transportation costs by 20% while maintaining delivery schedules.</situation><situation>Recently, a similar software launched by TechLogistics failed to deliver on its promises due to inaccurate route data and poor integration with existing systems.</situation><prompt>How likely do you estimate the planned project to be a failure?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","Situation:
Suppose you are a supply chain manager at Global Capital Goods Inc.
A company in your industry plans to launch a new logistics software that optimizes delivery routes to cut transportation costs by 20% while maintaining delivery schedules.

Prompt:
How likely do you estimate the planned project to be a failure?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a supply chain manager at Global Capital Goods Inc.
A company in your industry plans to launch a new logistics software that optimizes delivery routes to cut transportation costs by 20% while maintaining delivery schedules.
Recently, a similar software launched by TechLogistics failed to deliver on its promises due to inaccurate route data and poor integration with existing systems.

Prompt:
How likely do you estimate the planned project to be a failure?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
152,Availability Heuristic,A supply chain manager at a company from the capital goods industry deciding on the best strategy to minimize transportation costs while ensuring timely delivery.,"<template type=""control""><situation>Suppose you are a supply chain manager at Global Capital Goods Inc.</situation><situation>A company in your industry plans to implement a new logistics software to optimize routing and scheduling for reduced transportation costs and improved delivery times.</situation><prompt>How likely do you estimate the planned project to be a failure?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","<template type=""treatment""><situation>Suppose you are a supply chain manager at Global Capital Goods Inc.</situation><situation>A company in your industry plans to implement a new logistics software to optimize routing and scheduling for reduced transportation costs and improved delivery times.</situation><situation>Recently, Another company, XYZ Logistics, faced significant disruptions when their new routing software failed to integrate with their existing systems, leading to delivery delays and increased costs.</situation><prompt>How likely do you estimate the planned project to be a failure?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","Situation:
Suppose you are a supply chain manager at Global Capital Goods Inc.
A company in your industry plans to implement a new logistics software to optimize routing and scheduling for reduced transportation costs and improved delivery times.

Prompt:
How likely do you estimate the planned project to be a failure?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a supply chain manager at Global Capital Goods Inc.
A company in your industry plans to implement a new logistics software to optimize routing and scheduling for reduced transportation costs and improved delivery times.
Recently, Another company, XYZ Logistics, faced significant disruptions when their new routing software failed to integrate with their existing systems, leading to delivery delays and increased costs.

Prompt:
How likely do you estimate the planned project to be a failure?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
153,Availability Heuristic,A supply chain manager at a company from the capital goods industry deciding on the best strategy to minimize transportation costs while ensuring timely delivery.,"<template type=""control""><situation>Suppose you are a supply chain manager at Capital Goods Corp.</situation><situation>A company in your industry plans to release a new line of heavy machinery with optimized logistics to reduce transportation costs by 15% and ensure delivery within 48 hours.</situation><prompt>How likely do you estimate the planned project to be a failure?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","<template type=""treatment""><situation>Suppose you are a supply chain manager at Capital Goods Corp.</situation><situation>A company in your industry plans to release a new line of heavy machinery with optimized logistics to reduce transportation costs by 15% and ensure delivery within 48 hours.</situation><situation>Recently, Another company in the industry attempted a similar logistics optimization but faced a 25% increase in transportation costs due to unforeseen supply chain disruptions and failed to meet the 48-hour delivery window.</situation><prompt>How likely do you estimate the planned project to be a failure?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","Situation:
Suppose you are a supply chain manager at Capital Goods Corp.
A company in your industry plans to release a new line of heavy machinery with optimized logistics to reduce transportation costs by 15% and ensure delivery within 48 hours.

Prompt:
How likely do you estimate the planned project to be a failure?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a supply chain manager at Capital Goods Corp.
A company in your industry plans to release a new line of heavy machinery with optimized logistics to reduce transportation costs by 15% and ensure delivery within 48 hours.
Recently, Another company in the industry attempted a similar logistics optimization but faced a 25% increase in transportation costs due to unforeseen supply chain disruptions and failed to meet the 48-hour delivery window.

Prompt:
How likely do you estimate the planned project to be a failure?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
154,Availability Heuristic,A supply chain manager at a company from the capital goods industry deciding on the best strategy to minimize transportation costs while ensuring timely delivery.,"<template type=""control""><situation>Suppose you are a supply chain manager at GlobalTech Industries.</situation><situation>A company in your industry is planning to launch an innovative logistics software designed to optimize transportation routes and reduce costs while ensuring timely deliveries.</situation><prompt>How likely do you estimate the planned project to be a failure?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","<template type=""treatment""><situation>Suppose you are a supply chain manager at GlobalTech Industries.</situation><situation>A company in your industry is planning to launch an innovative logistics software designed to optimize transportation routes and reduce costs while ensuring timely deliveries.</situation><situation>Recently, In a recent attempt, TechLogix's logistics software failed to deliver on its promises when unexpected system crashes led to significant delays and cost overruns.</situation><prompt>How likely do you estimate the planned project to be a failure?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","Situation:
Suppose you are a supply chain manager at GlobalTech Industries.
A company in your industry is planning to launch an innovative logistics software designed to optimize transportation routes and reduce costs while ensuring timely deliveries.

Prompt:
How likely do you estimate the planned project to be a failure?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a supply chain manager at GlobalTech Industries.
A company in your industry is planning to launch an innovative logistics software designed to optimize transportation routes and reduce costs while ensuring timely deliveries.
Recently, In a recent attempt, TechLogix's logistics software failed to deliver on its promises when unexpected system crashes led to significant delays and cost overruns.

Prompt:
How likely do you estimate the planned project to be a failure?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
155,Availability Heuristic,A purchasing manager at a company from the technology hardware & equipment industry deciding whether to switch suppliers for a critical component to reduce costs without compromising quality.,"<template type=""control""><situation>Suppose you are a purchasing manager at Tech Innovators Inc.</situation><situation>A company in your industry plans to launch a new line of cost-effective, high-performance circuit boards to capture a larger market share.</situation><prompt>How likely do you estimate the planned project to be a success?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","<template type=""treatment""><situation>Suppose you are a purchasing manager at Tech Innovators Inc.</situation><situation>A company in your industry plans to launch a new line of cost-effective, high-performance circuit boards to capture a larger market share.</situation><situation>Recently, XYZ Electronics successfully launched their low-cost, high-efficiency microchips, resulting in a 30% increase in their market share within six months.</situation><prompt>How likely do you estimate the planned project to be a success?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","Situation:
Suppose you are a purchasing manager at Tech Innovators Inc.
A company in your industry plans to launch a new line of cost-effective, high-performance circuit boards to capture a larger market share.

Prompt:
How likely do you estimate the planned project to be a success?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a purchasing manager at Tech Innovators Inc.
A company in your industry plans to launch a new line of cost-effective, high-performance circuit boards to capture a larger market share.
Recently, XYZ Electronics successfully launched their low-cost, high-efficiency microchips, resulting in a 30% increase in their market share within six months.

Prompt:
How likely do you estimate the planned project to be a success?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
156,Availability Heuristic,A purchasing manager at a company from the technology hardware & equipment industry deciding whether to switch suppliers for a critical component to reduce costs without compromising quality.,"<template type=""control""><situation>Suppose you are a purchasing manager at TechNex Corp.</situation><situation>A company in your industry is planning to launch a new line of high-performance microprocessors designed to deliver superior energy efficiency and processing power.</situation><prompt>How likely do you estimate the planned project to be a failure?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","<template type=""treatment""><situation>Suppose you are a purchasing manager at TechNex Corp.</situation><situation>A company in your industry is planning to launch a new line of high-performance microprocessors designed to deliver superior energy efficiency and processing power.</situation><situation>Recently, a leading competitor, ChipX Innovations, faced a major setback when their latest microprocessor line failed to meet promised energy efficiency claims, leading to a significant drop in market trust and stock value.</situation><prompt>How likely do you estimate the planned project to be a failure?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","Situation:
Suppose you are a purchasing manager at TechNex Corp.
A company in your industry is planning to launch a new line of high-performance microprocessors designed to deliver superior energy efficiency and processing power.

Prompt:
How likely do you estimate the planned project to be a failure?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a purchasing manager at TechNex Corp.
A company in your industry is planning to launch a new line of high-performance microprocessors designed to deliver superior energy efficiency and processing power.
Recently, a leading competitor, ChipX Innovations, faced a major setback when their latest microprocessor line failed to meet promised energy efficiency claims, leading to a significant drop in market trust and stock value.

Prompt:
How likely do you estimate the planned project to be a failure?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
157,Availability Heuristic,A purchasing manager at a company from the technology hardware & equipment industry deciding whether to switch suppliers for a critical component to reduce costs without compromising quality.,"<template type=""control""><situation>Suppose you are a purchasing manager at Tech Innovations Corp.</situation><situation>A company in your industry plans to release a new line of eco-friendly, cost-effective microchips designed to enhance the performance of consumer electronics.</situation><prompt>How likely do you estimate the planned project to be a failure?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","<template type=""treatment""><situation>Suppose you are a purchasing manager at Tech Innovations Corp.</situation><situation>A company in your industry plans to release a new line of eco-friendly, cost-effective microchips designed to enhance the performance of consumer electronics.</situation><situation>Recently, when GreenTech Components launched their eco-friendly microchips, they faced a recall due to overheating issues that compromised device functionality.</situation><prompt>How likely do you estimate the planned project to be a failure?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","Situation:
Suppose you are a purchasing manager at Tech Innovations Corp.
A company in your industry plans to release a new line of eco-friendly, cost-effective microchips designed to enhance the performance of consumer electronics.

Prompt:
How likely do you estimate the planned project to be a failure?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a purchasing manager at Tech Innovations Corp.
A company in your industry plans to release a new line of eco-friendly, cost-effective microchips designed to enhance the performance of consumer electronics.
Recently, when GreenTech Components launched their eco-friendly microchips, they faced a recall due to overheating issues that compromised device functionality.

Prompt:
How likely do you estimate the planned project to be a failure?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
158,Availability Heuristic,A purchasing manager at a company from the technology hardware & equipment industry deciding whether to switch suppliers for a critical component to reduce costs without compromising quality.,"<template type=""control""><situation>Suppose you are a purchasing manager at TechCorp Industries.</situation><situation>A company in your industry plans to release a new cost-effective line of high-performance processors by switching to a more affordable supplier for silicon wafers.</situation><prompt>How likely do you estimate the planned project to be a success?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","<template type=""treatment""><situation>Suppose you are a purchasing manager at TechCorp Industries.</situation><situation>A company in your industry plans to release a new cost-effective line of high-performance processors by switching to a more affordable supplier for silicon wafers.</situation><situation>Recently, MicroTech Innovations successfully reduced production costs by 20% while maintaining product quality after switching to a new supplier for their microchip components.</situation><prompt>How likely do you estimate the planned project to be a success?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","Situation:
Suppose you are a purchasing manager at TechCorp Industries.
A company in your industry plans to release a new cost-effective line of high-performance processors by switching to a more affordable supplier for silicon wafers.

Prompt:
How likely do you estimate the planned project to be a success?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a purchasing manager at TechCorp Industries.
A company in your industry plans to release a new cost-effective line of high-performance processors by switching to a more affordable supplier for silicon wafers.
Recently, MicroTech Innovations successfully reduced production costs by 20% while maintaining product quality after switching to a new supplier for their microchip components.

Prompt:
How likely do you estimate the planned project to be a success?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
159,Availability Heuristic,A purchasing manager at a company from the technology hardware & equipment industry deciding whether to switch suppliers for a critical component to reduce costs without compromising quality.,"<template type=""control""><situation>Suppose you are a purchasing manager at Tech Solutions Inc.</situation><situation>A company in your industry plans to release a new line of eco-friendly laptops that utilize sustainably sourced materials and energy-efficient components.</situation><prompt>How likely do you estimate the planned project to be a failure?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","<template type=""treatment""><situation>Suppose you are a purchasing manager at Tech Solutions Inc.</situation><situation>A company in your industry plans to release a new line of eco-friendly laptops that utilize sustainably sourced materials and energy-efficient components.</situation><situation>Recently, GreenTech Innovations faced significant backlash when their eco-friendly laptop line was recalled due to faulty battery components sourced from a new supplier.</situation><prompt>How likely do you estimate the planned project to be a failure?</prompt><option>0%</option><option>10%</option><option>20%</option><option>30%</option><option>40%</option><option>50%</option><option>60%</option><option>70%</option><option>80%</option><option>90%</option><option>100%</option></template>","Situation:
Suppose you are a purchasing manager at Tech Solutions Inc.
A company in your industry plans to release a new line of eco-friendly laptops that utilize sustainably sourced materials and energy-efficient components.

Prompt:
How likely do you estimate the planned project to be a failure?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","Situation:
Suppose you are a purchasing manager at Tech Solutions Inc.
A company in your industry plans to release a new line of eco-friendly laptops that utilize sustainably sourced materials and energy-efficient components.
Recently, GreenTech Innovations faced significant backlash when their eco-friendly laptop line was recalled due to faulty battery components sourced from a new supplier.

Prompt:
How likely do you estimate the planned project to be a failure?

Answer Options:
Option 1: 0%
Option 2: 10%
Option 3: 20%
Option 4: 30%
Option 5: 40%
Option 6: 50%
Option 7: 60%
Option 8: 70%
Option 9: 80%
Option 10: 90%
Option 11: 100%
","{'k': -1, 'x_1': 0, 'x_2': 0, 'flip_treatment': False}",GPT-4o,0.0,42
