bias,did_att,did_se,did_p,did_ci_lo,did_ci_hi,scm_actual,scm_synthetic,scm_gap,scm_p_placebo,psm_att_unmatched,psm_att_matched,psm_t_stat,psm_t_p,psm_n_diagonal,psm_n_offdiag
Anchoring,-0.0549819927971182,0.07867099679693616,0.4846237975134534,-0.20917431314697904,0.09921032755274263,0.09567901234567901,-0.028605530688152067,0.12428454303383107,0.625,,,,,,
Availability Heuristic,0.02331312594669576,0.02517480491298927,0.35442004075734135,-0.02602858500058522,0.07265483689397674,0.02571428562396826,0.049655245136072994,-0.023940959512104735,0.875,,,,,,
Bandwagon Effect,-0.03186619718309856,0.04601754787268639,0.48863641039952443,-0.12205893367041167,0.05832653930421454,-0.06111111111111111,0.025813304604056366,-0.08692441571516747,0.25,,,,,,
Confirmation Bias,0.12480231931717561,0.03890205643677348,0.0013360748240370773,0.048555689776555,0.20104894885779623,0.07985842976506174,0.18890811678674008,-0.10904968702167833,0.625,,,,,,
Framing Effect,0.07764084493514292,0.03176888440334685,0.01452835247798916,0.015374975675566845,0.139906714194719,0.02500000006111113,0.06151517760813277,-0.03651517754702164,0.375,,,,,,
In Group Bias,-0.2085048004023777,0.04661835468460332,7.72777542741124e-06,-0.29987509660271433,-0.11713450420204109,0.19047618984126988,0.14020168997277496,0.050274499868494915,0.625,,,,,,
Loss Aversion,-0.07345474613686542,0.046195359164752384,0.11181467837804866,-0.1639959863526724,0.017086494078941555,-0.04814814814814815,-0.07017580023321125,0.022027652085063104,0.5,,,,,,
Planning Fallacy,0.024994848002816518,0.038456483470831554,0.5157235691328466,-0.05037847457207322,0.10036817057770625,0.026266557516557515,-0.041614812894366325,0.06788137041092385,0.25,,,,,,
Status Quo Bias,0.1263565887253308,0.04553094559947062,0.0055171091982885055,0.0371175751683159,0.21559560228234567,-0.07175925895408951,-0.037963522277095006,-0.0337957366769945,1.0,,,,,,
__GLOBAL__,-0.0020679569858698802,0.01580808979736647,0.8959205697949336,-0.03305124365308324,0.028915329681343478,,,,,-0.010546025521578902,-0.03931986639242893,-1.2816702820334716,0.20107438222038893,267.0,2049.0
