bias,did_att,did_se,did_p,did_ci_lo,did_ci_hi,scm_actual,scm_synthetic,scm_gap,scm_p_placebo,psm_att_unmatched,psm_att_matched,psm_t_stat,psm_t_p,psm_n_diagonal,psm_n_offdiag
Anchoring,-0.006377551020407601,0.04943048626611404,0.8973413482354138,-0.1032595238402929,0.0905044217994777,-0.02573529411764706,0.046264262018113955,-0.07199955613576102,0.5,,,,,,
Availability Heuristic,-0.017686298395142797,0.030232242230296347,0.5585380043246699,-0.07694040433841451,0.04156780754812892,-0.056247165459933496,-0.04683310846789503,-0.00941405699203847,1.0,,,,,,
Bandwagon Effect,0.002808988764049003,0.022342795616482863,0.8999517097280263,-0.0409820859581968,0.04660006348629481,-0.006965174129353241,0.02711510720319066,-0.0340802813325439,0.875,,,,,,
Confirmation Bias,-0.013438735164426757,0.017680503796212336,0.4472021069619513,-0.04809188583352664,0.021214415504673123,0.019117647039705882,-0.017555586433528808,0.03667323347323469,0.25,,,,,,
Framing Effect,0.004353476236961751,0.01909264653744043,0.8196318741886777,-0.03306742334597486,0.04177437581989836,0.009999999955,-0.005124201292741154,0.015124201247741154,0.5,,,,,,
In Group Bias,0.029942280149711092,0.04829484574698879,0.535264933175976,-0.06471387815330434,0.12459843845272653,0.16194029785045602,0.015431947230335016,0.14650835062012102,0.75,,,,,,
Loss Aversion,0.12867177522349876,0.05653780447120002,0.022854763481676612,0.017859714694979087,0.23948383575201843,0.003825136612021866,-0.004637599411621753,0.00846273602364362,0.625,,,,,,
Planning Fallacy,-0.028738660956636186,0.020519703182084695,0.16135173426425664,-0.06895654016697414,0.01147921825370176,-0.04877869714826235,-0.0354117332699763,-0.01336696387828605,0.5,,,,,,
Status Quo Bias,0.16372548975057205,0.04610599517552272,0.00038367236051076495,0.07335939973517004,0.2540915797659741,-0.016915423011774466,0.04177902952748943,-0.05869445253926389,0.8571428571428571,,,,,,
__GLOBAL__,0.023793995716842764,0.012439422564371716,0.05577501774099942,-0.0005868244978006823,0.04817481593148621,,,,,-0.004051733886962732,0.02688892128416657,1.2858060350492613,0.1990852513620123,519.0,3938.0
