bias,did_att,did_se,did_p,did_ci_lo,did_ci_hi,scm_actual,scm_synthetic,scm_gap,scm_p_placebo,psm_att_unmatched,psm_att_matched,psm_t_stat,psm_t_p,psm_n_diagonal,psm_n_offdiag
Anchoring,0.04894986449864963,0.061292406432294076,0.42450583906821915,-0.0711810446344379,0.16908077363173718,-0.07380952380952381,0.05628990000096558,-0.1300994238104894,0.0,,,,,,
Availability Heuristic,-0.026910986692989025,0.030115828864009545,0.37154515223817197,-0.08593692663101954,0.032114953245041496,-0.11674603157458774,-0.07231231949833397,-0.04443371207625377,0.375,,,,,,
Bandwagon Effect,-0.03289637952559088,0.022314490689801392,0.14042343941495827,-0.07663197761095596,0.010839218559774197,-0.014427860696517426,-0.00722221646659001,-0.007205644229927416,1.0,,,,,,
Confirmation Bias,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,
Framing Effect,-0.02335932421278286,0.014812432931519515,0.11479370015488262,-0.052391159281976164,0.005672510856410441,0.05666666665611113,-0.04311807249050344,0.09978473914661457,0.125,,,,,,
In Group Bias,-0.00692640678526929,0.014803047504018785,0.6398531633586266,-0.035939846754581645,0.022087033184043068,0.030597014856923715,0.16808485042234966,-0.13748783556542596,0.25,,,,,,
Loss Aversion,0.15644955300127628,0.05027967585574494,0.0018608504375137644,0.05790319916966806,0.2549959068328845,-0.04153005464480874,-0.015925592559090332,-0.025604462085718406,0.625,,,,,,
Planning Fallacy,-0.05479992979992962,0.021219976332734876,0.009809619154681275,-0.0963903191648823,-0.013209540434976928,0.06824286824286822,-0.015076272967667748,0.08331914121053598,0.0,,,,,,
Status Quo Bias,-0.005588235295768129,0.03075492879520764,0.8558165140620722,-0.06586678808146894,0.05469031748993268,-0.1121890545390962,0.12567678540914043,-0.23786583994823662,0.0,,,,,,
__GLOBAL__,0.006592911809635088,0.011099315599922745,0.5525170335891583,-0.015161347019257077,0.028347170638527253,,,,,-0.01785633389836222,-0.036140373120786745,-2.0614273202877187,0.03976754866360932,512.0,3885.0
