target_bias,human_bias,n,mean_delta,std_delta,t_stat,p_value,cohens_d,significant_05,p_bonferroni,significant_bonferroni
Anchoring,Anchoring,61,-0.07380952380952381,0.5243853256582264,-1.0993267378116502,0.2760170917523362,-0.14075436526779467,False,1.0,False
Anchoring,Availability Heuristic,62,-0.032680491551459294,0.5193947033237405,-0.49543525599331034,0.6220730464268571,-0.06292034031038067,False,1.0,False
Anchoring,Bandwagon Effect,64,0.03374255952380952,0.4088318687019632,0.6602725884543552,0.5114858943683918,0.08253407335491655,False,1.0,False
Anchoring,Confirmation Bias,61,0.06007025761124121,0.475391272480479,0.9869001330037904,0.32765479205787507,0.1263596135693641,False,1.0,False
Anchoring,Framing Effect,20,-0.06416666666666666,0.4287297639846292,-0.6693308494503339,0.5113367231567956,-0.14966692753176855,False,1.0,False
Anchoring,In Group Bias,58,0.001970443349753703,0.43186199344723714,0.034748252213391555,0.9724018862098732,0.004562669035685293,False,1.0,False
Anchoring,Loss Aversion,58,0.02553366174055829,0.5068288478223121,0.38367700499586554,0.7026452863767235,0.05037925879690814,False,1.0,False
Anchoring,Planning Fallacy,44,-0.01406926406926407,0.4990334533268996,-0.18701139045125587,0.8525312969464577,-0.02819302783666239,False,1.0,False
Anchoring,Status Quo Bias,64,-0.07663690476190477,0.4732636575355916,-1.2954623249285322,0.1998875751673778,-0.16193279027390461,False,1.0,False
Availability Heuristic,Anchoring,70,-0.12993764150188788,0.21340540095759225,-5.0942305161408825,2.9116913797506048e-06,-0.6088770026904426,True,0.00020381839658254234,True
Availability Heuristic,Availability Heuristic,70,-0.11674603157458777,0.23619354558178493,-4.135453305226787,9.82460609863038e-05,-0.49428120820465776,True,0.006877224269041266,True
Availability Heuristic,Bandwagon Effect,70,-0.07057256225694959,0.21945243224957656,-2.6905713099286497,0.008940031916265448,-0.3215847790427075,True,0.6258022341385814,False
Availability Heuristic,Confirmation Bias,58,-0.05004789290753377,0.2582835422050575,-1.475716933244418,0.14552296248667262,-0.19377112566478746,False,1.0,False
Availability Heuristic,Framing Effect,3,0.0416666666145833,0.07216878355849218,0.9999999999999998,0.42264973081037427,0.5773502611896258,False,1.0,False
Availability Heuristic,In Group Bias,69,-0.060748792370165706,0.21199265773223272,-2.380353044975994,0.02010492427347145,-0.2865608306129946,True,1.0,False
Availability Heuristic,Loss Aversion,64,-0.09234250976737718,0.2558317094136644,-2.8876016965688938,0.005313556068652737,-0.36095021066022237,True,0.3719489248056916,False
Availability Heuristic,Planning Fallacy,36,-0.08109567888334404,0.2771555081610641,-1.7555995063150616,0.08790636086942383,-0.29259991666345225,False,1.0,False
Availability Heuristic,Status Quo Bias,70,-0.05942743754836125,0.20536917559827092,-2.42103330897739,0.018111180569759928,-0.2893688260951113,True,1.0,False
Bandwagon Effect,Anchoring,63,-0.0031746031746031776,0.21896746012115556,-0.11507477649878456,0.9087577338451667,-0.014498059019128222,False,1.0,False
Bandwagon Effect,Availability Heuristic,67,-0.08457711442786071,0.29782196782443704,-2.324521334259543,0.02318418906273325,-0.2839854788473245,True,1.0,False
Bandwagon Effect,Bandwagon Effect,67,-0.014427860696517426,0.2528107236114867,-0.46713655124027603,0.6419407521944906,-0.057069812677803936,False,1.0,False
Bandwagon Effect,Confirmation Bias,67,-0.030845771144278618,0.2700114371462036,-0.9350845319920708,0.3531535217665459,-0.11423875727655838,False,1.0,False
Bandwagon Effect,Framing Effect,23,0.017391304347826087,0.1520464991400545,0.5485543310405484,0.5888354981464428,0.11438148416311093,False,1.0,False
Bandwagon Effect,In Group Bias,67,-0.10149253731343284,0.24047041690842336,-3.4546961422670335,0.0009674531435451139,-0.4220583063654987,True,0.06772172004815798,False
Bandwagon Effect,Loss Aversion,54,-0.04197530864197532,0.2600745889772087,-1.1860223065970554,0.24090337879421553,-0.16139719241950462,False,1.0,False
Bandwagon Effect,Planning Fallacy,59,-0.019209039548022607,0.18776803471146644,-0.7857963293468051,0.435185348407915,-0.10230196782555769,False,1.0,False
Bandwagon Effect,Status Quo Bias,67,0.016915422885572146,0.24018603440284983,0.576464422455071,0.566262164233748,0.07042633788929864,False,1.0,False
Confirmation Bias,Anchoring,69,0.0,0.0,,,0.0,False,,
Confirmation Bias,Availability Heuristic,69,0.0,0.0,,,0.0,False,,
Confirmation Bias,Bandwagon Effect,69,0.0,0.0,,,0.0,False,,
Confirmation Bias,Confirmation Bias,68,0.0,0.0,,,0.0,False,,
Confirmation Bias,Framing Effect,10,0.0,0.0,,,0.0,False,,
Confirmation Bias,In Group Bias,69,0.0,0.0,,,0.0,False,,
Confirmation Bias,Loss Aversion,63,0.0,0.0,,,0.0,False,,
Confirmation Bias,Planning Fallacy,20,0.0,0.0,,,0.0,False,,
Confirmation Bias,Status Quo Bias,69,0.0,0.0,,,0.0,False,,
Framing Effect,Anchoring,67,-0.13606965147931174,0.1923318934251484,-5.790917351611069,2.1220696239640606e-07,-0.7074731514812134,True,1.4854487367748423e-05,True
Framing Effect,Availability Heuristic,70,-0.03309523803123016,0.162099074237532,-1.7081814229725827,0.09209818698059773,-0.2041667294075184,False,1.0,False
Framing Effect,Bandwagon Effect,70,-0.0007142857047222213,0.13974429448702677,-0.042764844093243756,0.9660125013908377,-0.005111376476820353,False,1.0,False
Framing Effect,Confirmation Bias,60,0.043055555257175936,0.17748217200536945,1.8791008312396666,0.06517288744032716,0.2425908728076783,False,1.0,False
Framing Effect,Framing Effect,5,0.05666666665611113,0.08787617537299394,1.4419211824314988,0.22278063200676157,0.6448467490846119,False,1.0,False
Framing Effect,In Group Bias,70,0.017380952288452385,0.16718363541617678,0.86981886514456,0.3874152753864537,0.10396323863410471,False,1.0,False
Framing Effect,Loss Aversion,52,-0.04455128193573718,0.13915873713720858,-2.308614388309261,0.02505369911811066,-0.32014721125029344,True,1.0,False
Framing Effect,Planning Fallacy,49,0.04013605436927437,0.15118813244227947,1.8582965213369673,0.06926521248186909,0.2654709298636688,False,1.0,False
Framing Effect,Status Quo Bias,70,0.009999999964920639,0.14318664528948608,0.5843142856707183,0.5609145009215978,0.0698389146198958,False,1.0,False
In Group Bias,Anchoring,28,-0.02380952373015873,0.12598815724978188,-1.0000000000000002,0.32618890067972695,-0.18898223500461364,False,1.0,False
In Group Bias,Availability Heuristic,67,-0.0037313432742537315,0.1200035382580783,-0.2545121706914703,0.7998912338647427,-0.031093610216188252,False,1.0,False
In Group Bias,Bandwagon Effect,67,0.01616915417184909,0.16618541953643287,0.7964009796320474,0.42865443867215025,0.09729586458099868,False,1.0,False
In Group Bias,Confirmation Bias,38,0.385964908888889,0.4683772708950009,5.079767180979803,1.1021657185679782e-05,0.8240470493525851,True,0.0007715160029975847,True
In Group Bias,Framing Effect,4,0.0,0.0,,,0.0,False,,
In Group Bias,In Group Bias,67,0.030597014856923715,0.20104099850924415,1.2457526684967544,0.2172594566081813,0.1521929105586088,False,1.0,False
In Group Bias,Loss Aversion,67,-0.013681591997305141,0.08655029908015768,-1.2939141536074001,0.2002047487667278,-0.15807677136455994,False,1.0,False
In Group Bias,Planning Fallacy,57,-0.016081871295077974,0.09375145007078066,-1.2950782691414946,0.2006071478564665,-0.1715373054112672,False,1.0,False
In Group Bias,Status Quo Bias,67,0.006218905448797678,0.1452918751789072,0.35035637671168746,0.727186973326442,0.042802843574956256,False,1.0,False
Loss Aversion,Anchoring,67,-0.03731343283582089,0.3429311358097045,-0.8906266564848904,0.37636469568707986,-0.10880736343438664,False,1.0,False
Loss Aversion,Availability Heuristic,69,-0.02705314009661836,0.37695136569844506,-0.5961518634560629,0.5530531361554685,-0.07176825046043785,False,1.0,False
Loss Aversion,Bandwagon Effect,69,-0.08792270531400966,0.334762671493184,-2.1816675043129377,0.032594139218226875,-0.2626419028716525,True,1.0,False
Loss Aversion,Confirmation Bias,68,-0.030637254901960786,0.27804712090536293,-0.9086275565698207,0.36680363132334726,-0.11018727578265883,False,1.0,False
Loss Aversion,Framing Effect,28,0.033928571428571426,0.1447633333842994,1.2401836879700823,0.22557750389071762,0.23437268541012013,False,1.0,False
Loss Aversion,In Group Bias,69,-0.08454106280193237,0.3278883572823796,-2.1417375581353864,0.03579992467516914,-0.25783490223561106,True,1.0,False
Loss Aversion,Loss Aversion,61,-0.04153005464480875,0.3642295642456177,-0.8905375281707542,0.3767344095751898,-0.11402164625708792,False,1.0,False
Loss Aversion,Planning Fallacy,22,0.02272727272727274,0.3382786121415592,0.31512591796136463,0.755776025542139,0.06718507125297357,False,1.0,False
Loss Aversion,Status Quo Bias,69,-0.0681159420289855,0.3389687736311654,-1.6692201568949872,0.09967178327588037,-0.20095049198293555,False,1.0,False
Planning Fallacy,Anchoring,67,-0.0075154944557929695,0.17341030742019334,-0.3547480786517161,0.7239093838981028,-0.043339375405423146,False,1.0,False
Planning Fallacy,Availability Heuristic,69,-0.01798378754900494,0.17062750445847796,-0.8755010469989379,0.3843834241380363,-0.10539793980274345,False,1.0,False
Planning Fallacy,Bandwagon Effect,69,-0.03139915639915639,0.1473811186059632,-1.769704181158089,0.08125962695096177,-0.21304734611261528,False,1.0,False
Planning Fallacy,Confirmation Bias,65,-0.003992417838571692,0.17429221097632513,-0.18467779755139024,0.8540657278749765,-0.022906461472380645,False,1.0,False
Planning Fallacy,Framing Effect,25,0.006544011544011546,0.17962796499333558,0.1821545866829348,0.8569912445392714,0.03643091713377379,False,1.0,False
Planning Fallacy,In Group Bias,66,-0.012620796711705805,0.14725645876612592,-0.6962807474940249,0.4887354365307056,-0.08570623476722361,False,1.0,False
Planning Fallacy,Loss Aversion,43,-0.02842867726588657,0.13633047132078624,-1.367407459918682,0.17877122560949443,-0.20852768117016243,False,1.0,False
Planning Fallacy,Planning Fallacy,46,0.06824286824286825,0.24194596720355777,1.9130124662448453,0.062122458882594156,0.28205829900605367,False,1.0,False
Planning Fallacy,Status Quo Bias,68,-0.06469310917840329,0.1739130821594655,-3.06746932525288,0.0031131988075814975,-0.3719852929010779,True,0.21792391653070484,False
Status Quo Bias,Anchoring,20,-0.019166666420694447,0.3185436057269867,-0.26908698368579104,0.7907631112266085,-0.06016967854929064,False,1.0,False
Status Quo Bias,Availability Heuristic,61,0.1270491801864754,0.290117535219236,3.420289013643299,0.001130848142216458,0.4379231322661822,True,0.07915936995515206,False
Status Quo Bias,Bandwagon Effect,67,0.12960198987450247,0.2405419817367631,4.410198998943855,3.898285930264152e-05,0.5387915589617979,True,0.0027288001511849066,True
Status Quo Bias,Confirmation Bias,33,-0.1762626259955387,0.26874290325051653,-3.7677337151143115,0.0006693828676571619,-0.6558782509518106,True,0.04685680073600133,True
Status Quo Bias,Framing Effect,0,,,,,,False,,
Status Quo Bias,In Group Bias,68,-0.022549019580718956,0.29879199381616306,-0.6223191478325067,0.5358442679799384,-0.0754672814932429,False,1.0,False
Status Quo Bias,Loss Aversion,3,-9.25185853854297e-18,0.19999999960000003,-8.01234454262287e-17,1.0,-4.625929255393697e-17,False,1.0,False
Status Quo Bias,Planning Fallacy,21,0.01984126991203704,0.32316228435953653,0.2813574654485399,0.7813266225114479,0.06139723232233765,False,1.0,False
