bias,did_att,did_se,did_p,did_ci_lo,did_ci_hi,scm_actual,scm_synthetic,scm_gap,scm_p_placebo,psm_att_unmatched,psm_att_matched,psm_t_stat,psm_t_p,psm_n_diagonal,psm_n_offdiag
Anchoring,-0.17719676848162746,0.06269055901248693,0.004705528292090528,-0.30006800631678476,-0.05432553064647018,-0.058621351766513057,-0.11024567702528383,0.051624325258770774,0.75,,,,,,
Availability Heuristic,0.009408980087400745,0.021634449009039446,0.6636297061727858,-0.032993760795684834,0.05181172097048632,0.03930296746845033,-0.010408919902687148,0.04971188737113748,0.375,,,,,,
Bandwagon Effect,-0.026810237203493847,0.024526378252506715,0.2743417851144385,-0.07488105524961344,0.02126058084262574,-0.023880597014925373,0.012887451515440802,-0.03676804853036618,0.875,,,,,,
Confirmation Bias,-0.015643564340792074,0.012805246902527594,0.22183899372603288,-0.04074138708288924,0.009454258401305093,0.004411764701470587,-0.005167622366636531,0.009579387068107119,0.375,,,,,,
Framing Effect,-0.02303443789818488,0.012349235233414163,0.06214606508976932,-0.047238494192289725,0.0011696183959199677,0.03333333327777776,-0.05989179731829741,0.09322513059607518,0.375,,,,,,
In Group Bias,-0.10414862863342311,0.07257410641298336,0.15126830662763804,-0.24639126341304785,0.03809400614620162,0.07935323375277778,0.023676687328652482,0.0556765464241253,0.625,,,,,,
Loss Aversion,-0.11980166346769108,0.061931597647056344,0.05306162375930877,-0.24118536436094706,0.0015820374255649111,-0.21530054644808744,-0.12532016607715254,-0.08998038037093489,0.625,,,,,,
Planning Fallacy,-0.017973629424010998,0.010772837922876019,0.09523217493463271,-0.03908800376413528,0.0031407449161132833,-0.03517786561264822,0.04296370417623549,-0.0781415697888837,0.0,,,,,,
Status Quo Bias,0.17720588189080866,0.037294563899826105,2.0189276668387465e-06,0.10410987982802183,0.2503018839535955,-0.05746268646156718,0.06768627616992345,-0.12514896263149064,0.42857142857142855,,,,,,
__GLOBAL__,-0.040351069236665094,0.014131084073351558,0.004297143388873027,-0.06804748508294171,-0.012654653390388477,,,,,-0.002101733739317508,-0.03921504371404272,-1.834837309240967,0.06711092623616734,512.0,3897.0
