target_bias,human_bias,n,mean_delta,std_delta,t_stat,p_value,cohens_d,significant_05,p_bonferroni,significant_bonferroni
Anchoring,Anchoring,62,-0.058621351766513036,0.454254035756382,-1.0161384358999714,0.3135769578632116,-0.12904971012497984,False,1.0,False
Anchoring,Availability Heuristic,62,-0.06109831029185868,0.516019480037692,-0.9323070057195737,0.35485340527258,-0.1184031079000985,False,1.0,False
Anchoring,Bandwagon Effect,65,-0.02256410256410257,0.5452437986569272,-0.3336445296194987,0.7397385192444808,-0.04138351060259673,False,1.0,False
Anchoring,Confirmation Bias,65,-0.10850427350427351,0.5553923990207574,-1.5750835289170733,0.12016794127381498,-0.19536506711330268,False,1.0,False
Anchoring,Framing Effect,19,0.04028822055137844,0.35326917388138473,0.4971061586525563,0.6251314171943172,0.11404397387602752,False,1.0,False
Anchoring,In Group Bias,61,-0.12353629976580796,0.5352829124532628,-1.802503541139757,0.07648930854537322,-0.23078692904438153,False,1.0,False
Anchoring,Loss Aversion,61,-0.1305815768930523,0.5252086986200623,-1.9418465864864176,0.0568550722952137,-0.24862797776867646,False,1.0,False
Anchoring,Planning Fallacy,42,-0.029365079365079365,0.47083652997491077,-0.4041901017395305,0.6881736732458145,-0.06236788658746644,False,1.0,False
Anchoring,Status Quo Bias,65,-0.30637973137973135,0.547173234231377,-4.514315044498977,2.787626675180322e-05,-0.5599318673731839,True,0.0022022250733924544,True
Availability Heuristic,Anchoring,69,0.019737750121481157,0.2458919853360383,0.6667727129672337,0.5071734960835452,0.080270001538429,False,1.0,False
Availability Heuristic,Availability Heuristic,69,0.03930296746845032,0.23288616247462582,1.4018650313433432,0.16550382951223203,0.1687647169847108,False,1.0,False
Availability Heuristic,Bandwagon Effect,70,-0.023877551023618798,0.21845531967036858,-0.9144841381356112,0.3636472067223845,-0.10930175996787962,False,1.0,False
Availability Heuristic,Confirmation Bias,58,0.03282019684184725,0.2708641759265254,0.922791548872456,0.3600056180264505,0.12116846610820023,False,1.0,False
