bias,did_att,did_se,did_p,did_ci_lo,did_ci_hi,scm_actual,scm_synthetic,scm_gap,scm_p_placebo,psm_att_unmatched,psm_att_matched,psm_t_stat,psm_t_p,psm_n_diagonal,psm_n_offdiag
Anchoring,-0.13905562224890156,0.07981707009650256,0.08147712984633816,-0.2954942049895555,0.01738296049175239,-0.18708333333333332,-0.019173613719112106,-0.16790971961422121,0.0,,,,,,
Availability Heuristic,-0.14700720909735465,0.02462369855937497,2.37033484945748e-09,-0.1952687714399004,-0.0987456467548089,-0.0810204081138824,-0.1138405933212895,0.03282018520740709,0.5,,,,,,
Bandwagon Effect,-0.061698113207547145,0.02909385862212302,0.03395062473740611,-0.11872102827820838,-0.004675198136885904,-0.12437810945273632,-0.0957167321554268,-0.028661377297309526,0.875,,,,,,
Confirmation Bias,0.029974290135143328,0.027031498671163556,0.26748830713327354,-0.023006473708479573,0.08295505397876624,0.03594690744637047,-0.0018024360246975757,0.03774934347106804,0.125,,,,,,
Framing Effect,-0.0552306691532371,0.029347506559901853,0.05984220701138132,-0.11275072504669771,0.002289386740223512,0.11999999975999998,-0.12333319540515562,0.2433331951651556,0.125,,,,,,
In Group Bias,0.0063267232171241305,0.03382717674913198,0.8516365006176524,-0.05997332490984525,0.07262677134409351,0.07051282023931625,-0.07152703031759662,0.14203985055691287,0.125,,,,,,
Loss Aversion,-0.05428802588996742,0.06001142958868815,0.3656624402755948,-0.17190826654455754,0.06333221476462271,-0.030555555555555555,-0.03931328400133988,0.008757728445784322,0.75,,,,,,
Planning Fallacy,0.02583366505780356,0.013708771427524052,0.0595024487468744,-0.0010350332124353274,0.05270236332804244,0.18090062111801242,0.022643324370278054,0.15825729674773437,0.0,,,,,,
Status Quo Bias,0.14186274483008243,0.02812535770227766,4.560314938705401e-07,0.08673805668131201,0.19698743297885285,0.04054726353975954,-0.16763228721302095,0.2081795507527805,0.0,,,,,,
__GLOBAL__,-0.025167596995936875,0.013332828847009598,0.05907413558239038,-0.05129946134811238,0.0009642673562386302,,,,,0.03162096568628925,0.024428236507747596,1.1343039111159703,0.2573187219695471,418.0,3286.0
