bias,did_att,did_se,did_p,did_ci_lo,did_ci_hi,scm_actual,scm_synthetic,scm_gap,scm_p_placebo,psm_att_unmatched,psm_att_matched,psm_t_stat,psm_t_p,psm_n_diagonal,psm_n_offdiag
Anchoring,-0.027077308656256516,0.07296011137757223,0.7105445607165661,-0.1700764992643291,0.11592188195181607,0.007509157509157511,0.0692823571363063,-0.06177319962714879,0.125,,,,,,
Availability Heuristic,-0.08877844238907126,0.033922842255453126,0.008868823125253656,-0.15526599146299289,-0.022290893315149635,-0.1256056805807578,-0.12272150450797874,-0.0028841760727790627,0.875,,,,,,
Bandwagon Effect,0.0027517198248956376,0.025171337998143545,0.9129490256777627,-0.04658319609415025,0.052086635743941526,-0.0019900497512437857,-0.007323738673734816,0.00533368892249103,1.0,,,,,,
Confirmation Bias,0.00256916995790516,0.001878643340835693,0.17144776519081073,-0.0011129033299288032,0.006251243245739124,0.0,0.00404691125785932,-0.00404691125785932,0.375,,,,,,
Framing Effect,-0.05800781224010354,0.02013513648945398,0.003965103450268889,-0.0974719545832316,-0.018543669896975486,-0.06666666655555555,-0.0350135774290465,-0.03165308912650905,0.5,,,,,,
In Group Bias,-0.06143578629959656,0.02729650646020825,0.024405614699017576,-0.11493595586536964,-0.007935616733823474,0.05497512396364012,-0.1325573554488517,0.18753247941249182,0.25,,,,,,
Loss Aversion,0.0023307790549158547,0.029921618825176723,0.937910658062798,-0.0563145162015662,0.06097607431139791,-0.04207650273224045,-0.022151609966489787,-0.019924892765750664,0.625,,,,,,
Planning Fallacy,-0.05912270066116215,0.029172114329097408,0.04269458789123659,-0.11629899409907792,-0.0019464072232463908,0.0734848484848485,-0.1362723373435507,0.2097571858283992,0.0,,,,,,
Status Quo Bias,0.046185997643085945,0.06028723885227529,0.44361735607479724,-0.0719748192347375,0.16434681452090938,-0.061375661011287476,0.08059297509670821,-0.14196863610799568,0.14285714285714285,,,,,,
__GLOBAL__,-0.025291122645619946,0.010857785680804767,0.019842776339733085,-0.046571991531852,-0.004010253759387891,,,,,-0.0013475758449814773,-0.02510110706987126,-1.3571548598335434,0.1754199497152377,446.0,3256.0
