target_bias,human_bias,n,mean_delta,std_delta,t_stat,p_value,cohens_d,significant_05,p_bonferroni,significant_bonferroni
Anchoring,Anchoring,39,0.0075091575091575085,0.4380239053501242,0.10705962172740952,0.915304921096123,0.017143259535143358,False,1.0,False
Anchoring,Availability Heuristic,31,-0.1096006144393241,0.592010450368097,-1.0307763905858698,0.3108847029683955,-0.1851329046405251,False,1.0,False
Anchoring,Bandwagon Effect,32,-0.03385416666666667,0.40366786923895,-0.47441994066164833,0.6385254463033142,-0.08386638908523186,False,1.0,False
Anchoring,Confirmation Bias,38,0.06973684210526315,0.42243494200598036,1.0176401695256423,0.3154573990966946,0.16508303410941053,False,1.0,False
Anchoring,Framing Effect,10,0.006666666666666643,0.6050813637769085,0.03484134916368359,0.9729667574662705,0.011017801992835495,False,1.0,False
Anchoring,In Group Bias,25,0.03199999999999999,0.519301525199064,0.3081061622891769,0.7606597801170899,0.06162123233917363,False,1.0,False
Anchoring,Loss Aversion,33,0.030303030303030304,0.4902071300001974,0.3551104121142175,0.7248368405749315,0.0618167880202014,False,1.0,False
Anchoring,Planning Fallacy,17,0.0843137254901961,0.38624216048477633,0.9000425936130103,0.38144474892590163,0.21829239243608392,False,1.0,False
Anchoring,Status Quo Bias,22,0.025000000000000022,0.5060415420971309,0.2317208850278118,0.8189978522714685,0.04940305858485903,False,1.0,False
Availability Heuristic,Anchoring,57,-0.10934976316234886,0.25169468823181945,-3.280055742183251,0.0017884398571677308,-0.4344539946237561,True,0.13234454943041207,False
Availability Heuristic,Availability Heuristic,57,-0.1256056805807578,0.2889436459682457,-3.2819620910384737,0.0017783492560640387,-0.4347064969196627,True,0.13159784494873886,False
Availability Heuristic,Bandwagon Effect,52,-0.10883699632268172,0.2440740668307577,-3.215559735652038,0.002261271845207225,-0.4459179022580551,True,0.16733411654533464,False
Availability Heuristic,Confirmation Bias,48,-0.06803902153723744,0.3328042026902185,-1.416412908817296,0.16324862361796186,-0.20444159293303177,False,1.0,False
Availability Heuristic,Framing Effect,2,-0.25833333300995376,0.2474873730398048,-1.476190476582263,0.37904969931422555,-1.0438242920966325,False,1.0,False
Availability Heuristic,In Group Bias,60,-0.05850529125534258,0.3096827075973425,-1.4633688813621102,0.14867391929929627,-0.18892010961907685,False,1.0,False
Availability Heuristic,Loss Aversion,45,-0.042275132399096964,0.3021297374119017,-0.9386371955168631,0.3530413082578402,-0.13992377122923969,False,1.0,False
Availability Heuristic,Planning Fallacy,32,-0.11011904741311324,0.24895189427121278,-2.5021998853734124,0.017828270979530342,-0.442330624931164,True,1.0,False
Availability Heuristic,Status Quo Bias,53,-0.055690326311536704,0.26174703505248414,-1.5489447482626972,0.12746024294950378,-0.21276392333386335,False,1.0,False
Bandwagon Effect,Anchoring,62,0.0016129032258064494,0.289866963980199,0.04381324634457682,0.9651963753852,0.005564287830855882,False,1.0,False
Bandwagon Effect,Availability Heuristic,67,-0.08059701492537315,0.31951927557770565,-2.064711114317761,0.04288329178565459,-0.25224460880303823,True,1.0,False
Bandwagon Effect,Bandwagon Effect,67,-0.0019900497512437905,0.22733121514867685,-0.07165430069449158,0.9430937189254583,-0.008753966063078105,False,1.0,False
Bandwagon Effect,Confirmation Bias,67,0.032338308457711434,0.22216944948538134,1.1914350212647564,0.23774977168930447,0.14555695387939613,False,1.0,False
