bias,did_att,did_se,did_p,did_ci_lo,did_ci_hi,scm_actual,scm_synthetic,scm_gap,scm_p_placebo,psm_att_unmatched,psm_att_matched,psm_t_stat,psm_t_p,psm_n_diagonal,psm_n_offdiag
Anchoring,-0.009820878443798864,0.052363734595660634,0.8512285261747072,-0.11245191234730775,0.09281015545971003,0.018470418470418467,0.0811589493284502,-0.06268853085803174,0.625,,,,,,
Availability Heuristic,-0.0848227875930796,0.024669812477092108,0.000585328710216245,-0.13317473155353698,-0.03647084363262221,-0.10222789100332381,-0.0498525636362482,-0.05237532736707561,0.5,,,,,,
Bandwagon Effect,-0.0656991260923816,0.0162849413401108,5.475404030456799e-05,-0.09761702460934621,-0.03378122757541698,0.006218905472636815,-0.07961577551148159,0.08583468098411841,0.5,,,,,,
Confirmation Bias,0.0038647342955303136,0.004338654584480597,0.37305369165963775,-0.004638872431411249,0.012368341022471877,0.0014705882338235294,-0.0026252852784284042,0.0040958735122519335,0.875,,,,,,
Framing Effect,-0.03219623122998022,0.016599245417670477,0.05242586767827623,-0.06473015441915589,0.00033769195919543943,0.009999999955000016,-0.04086844428838151,0.05086844424338152,0.25,,,,,,
In Group Bias,0.04891774844389091,0.06685640479133474,0.4643615853106864,-0.08211839708295629,0.1799538939707381,0.01567164160733831,0.004266679040279268,0.011404962567059043,0.875,,,,,,
Loss Aversion,0.05245849297573113,0.03844235696982383,0.17237837404709222,-0.0228871421659559,0.12780412811741815,0.009289617486338797,-0.010391810212260419,0.019681427698599215,0.25,,,,,,
Planning Fallacy,-0.046205580890694514,0.017391464753189027,0.00788870706512107,-0.08029222544534279,-0.012118936336046243,0.019998117824204784,-0.01704236644863121,0.03704048427283599,0.0,,,,,,
Status Quo Bias,0.11838235269742663,0.03859132260203438,0.0021579251685098014,0.04274475028167268,0.19401995511318057,-0.10895522350597016,0.01769567566840263,-0.12665089917437278,0.2857142857142857,,,,,,
__GLOBAL__,-0.007249129902114293,0.011847636361188539,0.5406284270746684,-0.03047007047197101,0.015971810667742423,,,,,-0.01475846297489744,-0.045624104968538644,-2.2273333258690804,0.026355567921276146,517.0,3936.0
