target_bias,human_bias,n,mean_delta,std_delta,t_stat,p_value,cohens_d,significant_05,p_bonferroni,significant_bonferroni
Anchoring,Anchoring,66,0.01847041847041847,0.5248406535326401,0.2859046607639457,0.7758603382221859,0.03519243090432086,False,1.0,False
Anchoring,Availability Heuristic,69,0.10165631469979294,0.5362742644947092,1.5746061771158149,0.11998884482264943,0.1895603075527328,False,1.0,False
Anchoring,Bandwagon Effect,69,0.08409247757073844,0.443690951139401,1.5743493958738253,0.1200481930318392,0.1895293946501705,False,1.0,False
Anchoring,Confirmation Bias,69,0.08150448585231194,0.5569281148029301,1.2156454111770778,0.22832362028971687,0.14634650961157875,False,1.0,False
Anchoring,Framing Effect,21,-0.004761904761904766,0.42700972071757526,-0.051103728943051895,0.9597498238133017,-0.011151747887028893,False,1.0,False
Anchoring,In Group Bias,67,0.019012082444918265,0.5239278189487332,0.2970267966527024,0.7673788694010484,0.03628759863673323,False,1.0,False
Anchoring,Loss Aversion,63,0.12743764172335598,0.5247779166598475,1.9274914033040125,0.05850285211749148,0.24284109036378887,False,1.0,False
Anchoring,Planning Fallacy,49,0.1310009718172983,0.5459919084267102,1.67952452878554,0.09954848643153637,0.2399320751013489,False,1.0,False
Anchoring,Status Quo Bias,68,0.025087535014005603,0.5897571867165948,0.35078353966319176,0.7268513109053459,0.042538752450205504,False,1.0,False
Availability Heuristic,Anchoring,70,-0.052142857363528895,0.2504959578959852,-1.7415787780275318,0.08603874804027219,-0.20815847725982856,False,1.0,False
Availability Heuristic,Availability Heuristic,70,-0.10222789100332381,0.2810906588807464,-3.042790192314781,0.0033142520962402082,-0.36368298771184465,True,0.26514016769921667,False
Availability Heuristic,Bandwagon Effect,70,0.009370747891163963,0.2243496809158975,0.3494602776905407,0.7278081010715749,0.04176849198599175,False,1.0,False
Availability Heuristic,Confirmation Bias,58,-0.08427066238841097,0.24631028240235522,-2.6056006999440666,0.011679853299673222,-0.34213213197742265,True,0.9343882639738578,False
Availability Heuristic,Framing Effect,3,-0.36190476123537413,0.37940160466153455,-1.6521739134971642,0.24030381763330078,-0.9538830511914874,False,1.0,False
Availability Heuristic,In Group Bias,70,-0.06025510213841533,0.22435282764188264,-2.247042566114232,0.027838706622910953,-0.2685729549440893,True,1.0,False
